Time,Value
124593,265
124644,266
124694,265
124745,267
124795,267
124847,267
124897,267
124947,265
124998,264
125048,266
125100,265
125150,264
125201,266
125251,265
125302,265
125352,265
125404,267
125454,266
125505,268
125555,267
125606,264
125657,265
125707,265
125758,266
125808,266
125859,266
125910,266
125961,266
126011,263
126062,267
126112,264
126163,266
126214,266
126265,264
126315,266
126366,265
126416,267
126467,264
126518,266
126568,265
126619,265
126669,264
126721,266
126771,267
126822,267
126872,263
126923,267
126973,265
127025,265
127075,266
127125,265
127176,264
127226,265
127278,267
127328,265
127379,268
127429,264
127480,264
127531,266
127582,266
127632,267
127683,265
127733,265
127784,266
127835,266
127885,265
127936,265
127986,266
128037,264
128088,266
128139,266
128189,266
128240,263
128290,267
128342,266
128392,264
128443,265
128493,267
128544,264
128594,264
128645,267
128696,266
128746,265
128797,264
128847,267
128899,266
128949,268
129000,265
129050,266
129101,266
129152,266
129203,266
129253,266
129303,263
129354,265
129404,266
129456,264
129506,266
129557,262
129607,265
129658,265
129709,265
129760,265
129810,266
129861,266
129911,265
129963,265
130013,266
130063,266
130114,264
130164,267
130215,264
130266,265
130317,266
130367,268
130418,263
130468,266
130520,267
130570,263
130621,265
130671,263
130721,265
130772,265
130823,266
130874,265
130924,266
130975,265
131025,265
131077,266
131127,264
131178,265
131228,265
131279,265
131330,264
131381,266
131431,266
131481,267
131532,265
131582,266
131634,264
131684,267
131735,265
131785,264
131836,266
131887,266
131938,264
131988,265
132039,266
132089,266
132141,263
132191,266
132241,264
132292,267
132342,267
132393,266
132444,265
132495,265
132545,266
132596,266
132646,264
132698,266
132748,266
132799,266
132849,268
132899,265
132951,264
133001,265
133052,264
133102,265
133153,265
133203,264
133255,264
133305,266
133356,265
133406,265
133457,264
133508,265
133559,265
133609,266
133659,266
133710,266
133761,266
133812,267
133862,265
133913,266
133963,265
134014,264
134065,265
134116,266
134166,265
134217,266
134267,265
134319,266
134369,267
134419,265
134470,265
134520,264
134572,265
134622,266
134673,265
134723,264
134774,266
134824,265
134876,267
134926,267
134977,265
135027,266
135077,267
135129,267
135179,263
135230,264
135280,264
135331,267
135382,267
135433,265
135483,265
135534,264
135584,266
135635,268
135686,267
135737,266
135787,268
135837,264
135888,266
135939,266
135990,265
136040,265
136091,266
136141,265
136193,265
136243,266
136294,266
136344,263
136395,266
136445,264
136496,265
136547,265
136597,266
136648,266
136698,265
136750,265
136800,266
136851,266
136901,264
136952,266
137003,265
137054,265
137104,267
137155,267
137205,264
137255,265
137307,265
137357,265
137408,264
137458,266
137509,267
137560,264
137611,267
137661,265
137712,263
137762,265
137814,266
137864,264
137915,265
137965,266
138015,266
138066,263
138117,265
138168,266
138218,264
138269,265
138319,265
138371,265
138421,263
138472,266
138522,265
138573,265
138624,266
138674,265
138725,266
138775,267
138826,264
138876,266
138928,265
138978,265
139029,265
139079,266
139130,265
139181,267
139232,264
139282,266
139333,267
139383,267
139433,265
139485,268
139535,266
139586,264
139636,264
139687,265
139738,263
139789,266
139839,265
139890,266
139940,265
139992,265
140042,267
140093,264
140143,265
140193,265
140244,265
140295,265
140346,267
140396,265
140447,264
140497,266
140549,266
140599,265
140650,266
140700,265
140751,266
140802,263
140852,265
140903,265
140953,265
141004,265
141054,266
141106,267
141156,264
141207,266
141257,267
141308,266
141359,265
141410,265
141460,266
141511,266
141561,267
