Time,Value
63441,268
63492,269
63543,270
63593,269
63644,268
63694,267
63745,269
63796,269
63846,268
63897,268
63947,268
63997,267
64049,267
64099,270
64150,268
64200,268
64251,269
64302,269
64352,269
64403,269
64453,267
64504,267
64555,267
64605,266
64656,265
64706,268
64757,268
64807,269
64859,267
64909,268
64959,268
65010,269
65060,268
65112,269
65162,271
65212,265
65263,270
65313,269
65364,267
65415,268
65465,265
65516,267
65566,267
65617,267
65668,265
65719,269
65769,269
65819,268
65870,269
65921,266
65972,267
66022,266
66072,269
66123,266
66173,267
66225,264
66275,268
66326,267
66376,268
66426,267
66478,269
66528,268
66579,267
66629,269
66679,267
66731,269
66781,268
66832,269
66882,268
66933,270
66983,269
67034,267
67085,268
67135,268
67186,267
67236,267
67287,269
67338,268
67388,269
67439,269
67489,268
67540,268
67591,267
67641,266
67692,268
67742,270
67793,269
67844,269
67894,270
67945,270
67995,269
68046,267
68097,268
68148,270
68198,269
68248,267
68299,269
68349,268
68401,267
68451,269
68501,269
68552,268
68602,269
68654,267
68704,269
68754,268
68805,268
68855,270
68907,267
68957,268
69008,268
69058,268
69108,269
69159,270
69210,270
69261,268
69311,266
69361,269
69412,267
69463,269
69514,268
69564,268
69615,268
69665,268
69715,268
69767,267
69817,268
69868,266
69918,267
69968,268
70020,268
70070,268
70121,270
70171,269
70222,269
70273,267
70323,271
70374,268
70424,266
70475,268
70525,269
70576,269
70627,271
70677,269
70728,268
70778,267
70830,269
70880,268
70930,269
70981,268
71031,269
71083,269
71133,267
71183,269
71234,269
71284,267
71335,268
71386,269
71437,268
71487,268
71537,268
71588,266
71639,268
71690,266
71740,267
71790,268
71841,269
71891,267
71943,269
71993,269
72044,268
72094,267
72144,268
72196,269
72246,269
72297,269
72347,270
72397,269
72449,269
72499,269
72550,269
72600,266
72651,269
72701,270
72752,268
72803,268
72853,270
72904,268
72954,269
73005,268
73056,269
73106,266
73157,265
73207,266
73259,267
73309,267
73359,266
73410,267
73460,269
73511,269
73562,269
73612,267
73663,270
73713,268
73764,268
73815,270
73866,268
73916,268
73966,269
74017,270
74067,269
74119,267
74169,269
74219,268
74270,267
74320,266
74372,268
74422,270
74473,267
74523,268
74573,269
74625,267
74675,269
74726,271
74776,269
74827,267
74877,267
74928,267
74979,270
75029,267
75080,267
75130,269
75181,269
75232,269
75282,268
75333,268
75383,269
75435,270
75485,268
75535,268
75586,267
75636,269
75687,267
75738,268
75788,267
75839,269
75889,268
75940,267
75991,269
76042,269
76092,268
76142,267
76193,268
76243,268
76295,269
76345,266
76395,267
76446,269
76496,269
76548,268
76598,268
76649,268
76699,269
76749,269
76801,268
76851,269
76902,269
76952,268
77002,268
77053,269
77104,269
77155,268
77205,266
77256,268
77306,267
77357,268
77408,268
77458,269
77509,269
77559,267
77609,267
77661,269
77711,267
77762,266
77812,266
77863,268
77914,270
77964,266
78015,268
78065,268
78116,268
78167,269
78217,269
78268,267
78318,269
78369,269
78419,268
78471,266
78521,268
78571,267
78622,269
78672,269
78724,270
78774,270
78824,268
78875,267
78925,267
78977,269
79027,269
79078,268
79128,268
79178,268
79229,267
79280,266
79331,268
79381,269
79431,266
79482,269
79533,269
79584,267
79634,268
79685,269
79735,268
79785,269
79837,269
79887,267
79938,268
79988,269
80038,270
80090,268
80140,268
80191,270
80241,269
80292,269
80343,269
80393,269
80444,268
80494,268
80545,267
80595,267
80646,269
80697,269
80747,267
80798,268
80848,267
80900,268
80950,269
81000,269
81051,270
81101,267
81153,270
81203,268
81253,268
81304,268
81354,267
81405,269
81456,265
81507,267
81557,270
81607,268
81658,268
81709,270
81760,267
81810,268
81860,268
81911,265
81961,268
82013,268
82063,267
82114,270
82164,268
82214,269
82266,271
82316,268
82367,268
82417,268
82467,269
82519,269
82569,270
82620,268
82670,268
82721,269
82771,266
82822,267
82873,269
82923,268
82974,269
83024,271
83075,268
83126,268
83176,269
83227,269
83277,269
83329,267
83379,267
83429,270
83480,268
83530,269
83581,268
83632,266
83682,268
83733,269
83783,267
83834,269
83885,267
83935,270
83986,268
84036,268
84087,267
84137,268
84189,269
84239,270
84289,268
84340,268
84390,269
84442,268
84492,268
84542,268
84593,269
84643,268
84695,270
84745,269
84796,268
84846,268
84896,269
84947,267
84998,268
85049,268
85099,267
85149,267
85200,268
85251,270
85302,269
85352,268
85403,269
85453,270
85504,268
85555,270
85605,269
85656,267
85706,268
85756,269
85808,267
85858,268
85909,270
85959,269
86010,268
86061,267
86111,268
86162,269
86212,269
86263,268
86313,267
86364,268
86415,267
86465,268
86516,269
86566,268
86618,268
86668,266
86718,269
86769,269
86819,268
